PLAYER,TEAM,MIN,AST per game,Opt. AST per game,AST per 75 poss,Opt. AST per 75 poss,Passing Production Rating Percentile
Dejounte Murray,SAS,1656,4.09,5.1,5.84,7.25,0.834
Mike Conley,UTA,1363,4.43,5.83,5.58,7.35,0.831
Jamal Murray,DEN,1904,4.81,6.38,5.6,7.42,0.828
Kris Dunn,CHI,1269,3.39,4.7,4.96,6.87,0.825
Marcus Smart,BOS,1919,4.85,6.07,5.49,6.88,0.822
Isaiah Thomas,WAS,925,3.65,4.78,5.51,7.21,0.819
Kemba Walker,BOS,1742,4.79,6.3,5.61,7.38,0.816
Domantas Sabonis,IND,2159,5.0,6.24,5.32,6.64,0.812
Bruce Brown,DET,1612,3.96,5.31,5.33,7.13,0.809
Cory Joseph,SAC,1742,3.45,4.61,5.29,7.01,0.806
De'Anthony Melton,MEM,1167,2.92,3.69,5.25,6.63,0.803
Aaron Holiday,IND,1617,3.41,4.51,5.09,6.73,0.8
Terry Rozier,CHA,2127,4.1,6.21,4.52,6.83,0.797
Emmanuel Mudiay,UTA,850,2.15,3.04,4.92,6.96,0.794
Khris Middleton,MIL,1818,4.28,5.63,4.92,6.47,0.791
Patrick Beverley,LAC,1342,3.59,4.83,4.94,6.64,0.788
Michael Carter-Williams,ORL,833,2.42,3.26,4.87,6.54,0.784
Paul George,LAC,1419,3.85,5.26,4.68,6.39,0.781
Al Horford,PHI,2026,4.03,5.04,4.86,6.08,0.778
James Johnson,MIN,620,2.31,3.39,4.22,6.19,0.775
Raul Neto,PHI,668,1.76,2.34,5.22,6.94,0.772
Zach LaVine,CHI,2085,4.23,6.17,4.4,6.42,0.769
George Hill,MIL,1247,3.07,4.0,4.99,6.54,0.766
Marc Gasol,TOR,1145,3.37,4.31,4.56,5.87,0.762
Ky Bowman,GSW,1015,2.91,4.11,4.68,6.61,0.759
Shake Milton,PHI,805,2.6,3.52,4.77,6.46,0.756
Karl-Anthony Towns,MIN,1187,4.37,5.76,4.5,5.93,0.753
Cody Martin,CHA,903,1.98,2.93,3.97,5.88,0.75
Derrick White,SAS,1655,3.55,4.4,5.12,6.35,0.747
Dennis Schroder,OKC,1999,4.03,5.39,4.75,6.36,0.744
Luke Kennard,DET,888,4.11,5.24,4.63,5.9,0.741
Brandon Ingram,NOP,2062,4.18,5.85,4.27,5.98,0.738
Gordon Hayward,BOS,1740,4.08,5.45,4.37,5.84,0.734
Darius Garland,CLE,1824,3.88,5.31,4.6,6.29,0.731
Kevin Huerter,ATL,1760,3.8,5.08,4.27,5.7,0.728
Donovan Mitchell,UTA,2364,4.26,5.8,4.56,6.21,0.725
Nikola Vucevic,ORL,1998,3.58,4.93,4.06,5.59,0.722
Brad Wanamaker,BOS,1369,2.52,3.22,4.76,6.08,0.719
Tyler Johnson,BKN,694,1.92,2.91,3.69,5.65,0.716
Bogdan Bogdanovic,SAC,1736,3.42,4.32,4.33,5.52,0.712
Kyle Anderson,MEM,1330,2.42,3.01,4.3,5.36,0.709
Jordan McRae,DET,785,2.51,3.31,4.16,5.48,0.706
CJ McCollum,POR,2518,4.45,5.73,4.38,5.66,0.703
Aaron Gordon,ORL,2017,3.68,4.73,4.18,5.38,0.7
Andrew Wiggins,GSW,1859,3.67,5.23,3.79,5.4,0.697
Ryan Arcidiacono,CHI,930,1.66,2.27,3.73,5.12,0.694
Malik Monk,CHA,1136,2.02,2.88,3.63,5.04,0.691
Evan Fournier,ORL,2076,3.17,4.32,3.7,5.06,0.688
Kendrick Nunn,MIA,1935,3.27,4.21,4.14,5.31,0.684
Will Barton,DEN,1916,3.66,4.6,4.12,5.19,0.681
